imagenet_img_id,label
n02124075_11684,Cat
n02124075_11704,Cat
n02124075_11706,Cat
n02124075_11710,Cat
n02124075_11721,Cat
n02124075_11762,Cat
n02124075_11763,Cat
n02124075_11774,Cat
n02124075_11776,Cat
n02124075_11787,Cat
n02124075_11788,Cat
n02124075_11788,Chair
n02124075_11816,Cat
n02124075_11816,TV/Monitor
n02124075_11817,Cat
n02124075_1183,Cat
n02124075_11830,Cat
n02124075_11888,Cat
n02124075_11910,Cat
n02124075_11928,Cat
n02124075_11955,Cat
n02124075_11970,Cat
n02124075_11979,Cat
n02124075_11983,Cat
n02124075_12042,Cat
n02124075_12069,Cat
n02124075_12102,Cat
n02124075_12108,Cat
n02124075_12108,Sofa
n02124075_12118,Cat
n02124075_12132,Cat
n02124075_12150,Cat
n02124075_12170,Cat
n02124075_12173,Cat
n02124075_1218,Cat
n02124075_12184,Cat
n02124075_12193,Cat
n02124075_12210,Cat
n02124075_12218,Cat
n02124075_12219,Cat
n02124075_1226,Cat
n02124075_12273,Cat
n02124075_12274,Cat
n02124075_12286,Cat
n02124075_12299,Cat
n02124075_12299,Sofa
n02124075_12369,Cat
n02124075_12381,Cat
n02124075_12430,Cat
n02124075_12467,Cat
n02124075_12467,Chair
n02124075_12629,Cat
n02124075_12647,Cat
n02124075_12672,Cat
n02124075_12686,Cat
n02124075_12698,Cat
n02124075_12730,Cat
n02124075_1277,Cat
n02124075_1279,Cat
n02124075_1281,Cat
n02124075_12824,Cat
n02124075_12904,Cat
n02124075_13008,Cat
n02124075_13102,Cat
n02124075_13282,Cat
n02124075_13357,Cat
n02124075_13369,Cat
n02124075_13389,Cat
n02124075_13477,Cat
n02124075_13532,Cat
n02124075_13539,Cat
n02124075_1360,Cat
n02124075_1363,Cat
n02124075_13678,Cat
n02124075_1368,Cat
n02124075_13683,Cat
n02124075_13688,Cat
n02124075_13696,Cat
n02124075_13756,Cat
n02124075_1382,Cat
n02124075_13871,Cat
n02124075_13894,Cat
n02124075_13897,Cat
n02124075_14094,Cat
n02124075_14132,Cat
n02124075_14149,Cat
n02124075_14208,Cat
n02124075_1422,Cat
n02124075_14229,Cat
n02124075_1426,Cat
n02124075_14267,Cat
n02124075_1430,Cat
n02124075_14363,Cat
n02124075_14390,Cat
n02124075_14568,Cat
n02124075_1460,Cat
n02124075_14612,Cat
n02124075_14633,Cat
n02124075_14693,Cat
n02124075_14837,Cat
n02124075_14937,Cat
n02124075_14965,Cat
n02124075_1499,Cat
n02124075_15001,Cat
n02124075_15039,Cat
n02124075_15048,Cat
n02124075_15052,Cat
n02124075_15073,Cat
n02124075_15123,Cat
n02124075_15158,Cat
n02124075_15260,Cat
n02124075_15370,Person
n02124075_15370,Cat
n02124075_15399,Cat
n02124075_15419,Cat
n02124075_15437,Cat
n02124075_155,Cat
n02124075_1560,Cat
n02124075_1576,Cat
n02124075_1590,Cat
n02124075_15947,Cat
n02124075_1608,Cat
n02124075_1624,Cat
n02124075_1630,Cat
n02124075_16483,Dog
n02124075_1696,Cat
n02124075_1707,Cat
n02124075_1723,Cat
n02124075_17592,Cat
n02124075_1763,Cat
n02124075_17652,Cat
n02124075_1795,Cat
n02124075_18,Cat
n02124075_1806,Cat
n02124075_1827,Cat
n02124075_1839,Cat
n02124075_1839,Sofa
n02124075_1853,Cat
n02124075_18687,Cat
n02124075_1882,Cat
n02124075_191,Cat
n02124075_1911,Cat
n02124075_1913,Cat
n02124075_1913,"Potted plant"
n02124075_1953,Cat
n02124075_1969,Cat
n02124075_19870,Cat
n02124075_1988,Cat
n02124075_19942,Cat
n02124075_19942,Chair
n02124075_20092,Cat
n02124075_20295,Cat
n02124075_2053,Cat
n02124075_2054,Cat
n02124075_2113,Cat
n02124075_21297,Cat
n02124075_2138,Cat
n02124075_2148,Cat
n02124075_2223,Cat
n02124075_2231,Dog
n02124075_2305,Cat
n02124075_2308,Cat
n02124075_235,Cat
n02124075_2400,Cat
n02124075_2417,Cat
n02124075_2419,Cat
n02124075_2480,Cat
n02124075_2487,Cat
n02124075_2502,Cat
n02124075_2522,Cat
n02124075_2565,Cat
n02124075_2606,Cat
n02124075_2612,Cat
n02124075_2650,Cat
n02124075_2671,Person
n02124075_2671,Cat
n02124075_2675,Cat
n02124075_2715,Cat
n02124075_2751,Cat
n02124075_2751,Chair
n02124075_2771,Cat
n02124075_278,Cat
n02124075_2806,Cat
n02124075_2813,Cat
n02124075_2934,Cat
n02124075_2958,Cat
n02124075_2963,Cat
n02124075_2993,Cat
n02124075_3017,Cat
n02124075_3021,Cat
n02124075_3039,Cat
n02124075_3045,Cat
n02124075_3053,Cat
n02124075_3091,Cat
n02124075_3121,Cat
n02124075_3162,Cat
n02124075_3178,Cat
n02124075_3230,Cat
n02124075_3232,Cat
n02124075_3243,Cat
n02124075_3324,Cat
n02124075_3328,Cat
n02124075_3333,Cat
n02124075_3365,Cat
n02124075_3365,Sofa
n02124075_3383,Cat
n02124075_3412,Cat
n02124075_3422,Cat
n02124075_3436,Cat
n02124075_3444,Cat
n02124075_3461,Cat
n02124075_3490,Dog
n02124075_3497,Cat
n02124075_353,Cat
n02124075_3533,Cat
n02124075_3546,Cat
n02124075_3549,Cat
n02124075_3592,Cat
n02124075_3592,Person
n02124075_36,Cat
n02124075_36,Person
n02124075_3636,Cat
n02124075_3645,Cat
n02124075_3653,Cat
n02124075_3661,Cat
n02124075_3675,Cat
n02124075_3675,"Potted plant"
n02124075_3676,Cat
n02124075_3692,Cat
n02124075_3693,Cat
n02124075_3699,Cat
n02124075_3699,Dog
n02124075_3707,Cat
n02124075_3734,Cat
n02124075_380,Cat
n02124075_3832,Cat
n02124075_3843,Cat
n02124075_3850,Dog
n02124075_386,Cat
n02124075_3863,Cat
n02124075_387,Cat
n02124075_3900,Cat
n02124075_3942,Cat
n02124075_4055,Cat
n02124075_4148,Person
n02124075_416,Cat
n02124075_4165,Cat
n02124075_4172,Cat
n02124075_418,Cat
n02124075_4189,Cat
n02124075_4198,Cat
n02124075_4220,Cat
n02124075_4275,Person
n02124075_4275,Cat
n02124075_4279,Cat
n02124075_428,Cat
n02124075_429,Cat
n02124075_4294,Cat
n02124075_431,Cat
n02124075_4323,Cat
n02124075_4347,Cat
n02124075_4350,Cat
n02124075_4357,Cat
n02124075_4377,Cat
n02124075_4425,Person
n02124075_4425,Cat
n02124075_446,Cat
n02124075_4476,Cat
n02124075_4538,Cat
n02124075_4559,Cat
n02124075_4605,Cat
n02124075_4605,Sofa
n02124075_4649,Cat
n02124075_4650,Cat
n02124075_475,Person
n02124075_4797,Cat
n02124075_4834,Cat
n02124075_4839,Cat
n02124075_4839,"Potted plant"
n02124075_4946,Cat
n02124075_4973,Cat
n02124075_4981,Cat
n02124075_5000,Cat
n02124075_5054,Cat
n02124075_5054,Sofa
n02124075_507,Cat
n02124075_5077,Cat
n02124075_5133,Cat
n02124075_5153,Cat
n02124075_5172,Cat
n02124075_5174,Cat
n02124075_5186,Cat
n02124075_5186,Person
n02124075_5204,Cat
n02124075_5204,"Potted plant"
n02124075_5204,Chair
n02124075_5224,Cat
n02124075_5231,Cat
n02124075_5238,Cat
n02124075_5243,Cat
n02124075_5273,Cat
n02124075_531,Cat
n02124075_5325,Cat
n02124075_5365,Cat
n02124075_5369,Cat
n02124075_538,Cat
n02124075_5386,Cat
n02124075_5424,Cat
n02124075_544,Cat
n02124075_5449,Cat
n02124075_5475,Cat
n02124075_5475,Dog
n02124075_5552,Cat
n02124075_5557,Cat
n02124075_5575,Cat
n02124075_5575,Dog
n02124075_5632,Cat
n02124075_57,Cat
n02124075_5707,Cat
n02124075_5756,Cat
n02124075_5768,Cat
n02124075_5795,Cat
n02124075_583,Cat
n02124075_5834,Dog
n02124075_5853,Cat
n02124075_5926,Cat
n02124075_5970,Cat
n02124075_6033,Bird
n02124075_604,Cat
n02124075_605,Cat
n02124075_6065,Dog
n02124075_6065,Cat
n02124075_6093,Cat
n02124075_6144,Cat
n02124075_6158,Cat
n02124075_6166,Cat
n02124075_6207,Cat
n02124075_6237,Cat
n02124075_6257,Cat
n02124075_6328,Cat
n02124075_6345,Cat
n02124075_6351,Cat
n02124075_6380,Cat
n02124075_6414,Cat
n02124075_6448,Cat
n02124075_6459,Cat
n02124075_6461,Cat
n02124075_6464,Cat
n02124075_649,Cat
n02124075_6508,Cat
n02124075_6510,Cat
n02124075_6561,Cat
n02124075_6626,Cat
n02124075_669,Cat
n02124075_6712,Cat
n02124075_6715,Cat
n02124075_6716,Cat
n02124075_6722,Cat
n02124075_6733,Cat
n02124075_6734,Cat
n02124075_6752,Cat
n02124075_6756,Cat
n02124075_678,Cat
n02124075_6794,Cat
n02124075_686,Cat
n02124075_6864,Cat
n02124075_6918,Cat
n02124075_6973,Cat
n02124075_6998,Cat
n02124075_7059,Cat
n02124075_714,Cat
n02124075_7196,Cat
n02124075_7230,Cat
n02124075_724,Cat
n02124075_7240,Cat
n02124075_7240,Person
n02124075_7250,Cat
n02124075_7265,Cat
n02124075_7271,Cat
n02124075_7300,Cat
n02124075_731,Cat
n02124075_7311,Cat
n02124075_7323,Cat
n02124075_7332,Cat
n02124075_7338,Cat
n02124075_7375,Cat
n02124075_7399,Cat
n02124075_7406,Person
n02124075_7406,Cat
n02124075_7419,Person
n02124075_7425,Cat
n02124075_7446,Cat
n02124075_7470,Cat
n02124075_754,Cat
n02124075_7579,Cat
n02124075_7616,Dog
n02124075_7643,Cat
n02124075_7648,Cat
n02124075_7651,Cat
n02124075_7655,Cat
n02124075_7668,Cat
n02124075_7691,Cat
n02124075_7692,Cat
n02124075_7692,Person
n02124075_7704,Cat
n02124075_7704,Sofa
n02124075_7737,Cat
n02124075_7756,Cat
n02124075_7760,Cat
n02124075_7770,Cat
n02124075_7793,Cat
n02124075_7802,Dog
n02124075_7854,Cat
n02124075_7857,Cat
n02124075_7921,Cat
n02124075_7925,Cat
n02124075_7929,Cat
n02124075_7932,Cat
n02124075_7961,Cat
n02124075_7973,Cat
n02124075_7979,Cat
n02124075_8007,Cat
n02124075_8028,Cat
n02124075_8031,Cat
n02124075_8071,Cat
n02124075_8077,Cat
n02124075_810,Cat
n02124075_8123,Cat
n02124075_8140,Cat
n02124075_8153,Cat
n02124075_8171,Cat
n02124075_8184,Cat
n02124075_8197,Cat
n02124075_8199,Cat
n02124075_8199,Sofa
n02124075_8245,Cat
n02124075_8277,Cat
n02124075_8310,Cat
n02124075_8341,Cat
n02124075_8351,Cat
n02124075_8383,Cat
n02124075_8393,Cat
n02124075_8400,Cat
n02124075_8408,Cat
n02124075_8414,Cat
n02124075_843,Cat
n02124075_8470,Cat
n02124075_853,Cat
n02124075_8561,Cat
n02124075_8569,Cat
n02124075_8583,Cat
n02124075_8595,Cat
n02124075_8630,Cat
n02124075_8673,Cat
n02124075_8683,Cat
n02124075_869,Cat
n02124075_8693,Cat
n02124075_8725,Cat
n02124075_8732,Cat
n02124075_8747,Cat
n02124075_8781,Cat
n02124075_8786,Cat
n02124075_880,Person
n02124075_880,Cat
n02124075_8833,Cat
n02124075_8855,Cat
n02124075_8875,Cat
n02124075_8890,Cat
n02124075_891,Cat
n02124075_8955,Cat
n02124075_896,Cat
n02124075_8985,Cat
n02124075_8985,Sofa
n02124075_9010,Cat
n02124075_9053,Cat
n02124075_9113,Cat
n02124075_9137,Cat
n02124075_9138,Cat
n02124075_9149,Cat
n02124075_9188,Cat
n02124075_9224,Cat
n02124075_9225,Cat
n02124075_9266,Cat
n02124075_9291,Cat
n02124075_9300,Cat
n02124075_9324,Cat
n02124075_9325,Cat
n02124075_9329,Cat
n02124075_9339,Cat
n02124075_9352,Cat
n02124075_9358,Cat
n02124075_9371,Cat
n02124075_9371,Person
n02124075_941,Cat
n02124075_9419,Cat
n02124075_9426,Cat
n02124075_9433,Cat
n02124075_9444,Cat
n02124075_9444,Person
n02124075_945,Cat
n02124075_9474,Cat
n02124075_9490,Cat
n02124075_9499,Cat
n02124075_9501,Cat
n02124075_951,Cat
n02124075_9512,Cat
n02124075_9512,Sofa
n02124075_9528,Cat
n02124075_9555,Cat
n02124075_9568,Cat
n02124075_9573,Cat
n02124075_9602,Cat
n02124075_9618,Cat
n02124075_9644,Cat
n02124075_9659,Cat
n02124075_9679,Cat
n02124075_9706,Cat
n02124075_9710,Person
n02124075_9710,Cat
n02124075_9723,Cat
n02124075_9738,Cat
n02124075_9747,Cat
n02124075_9752,Cat
n02124075_9771,Cat
n02124075_9798,Cat
n02124075_9830,Cat
n02124075_9860,Cat
n02124075_9894,Cat
n02124075_9907,Cat
n02124075_9919,Cat
n02124075_9979,Cat
n02124075_9999,Cat
n02123394_10052,Cat
n02123394_1006,Cat
n02123394_10088,Cat
n02123394_10109,Cat
n02123394_10126,Cat
n02123394_1013,Cat
n02123394_10235,Dog
n02123394_10235,"Potted plant"
n02123394_1024,Cat
n02123394_1035,Cat
n02123394_10400,Dog
n02123394_10401,Cat
n02123394_1052,Dog
n02123394_1063,Cat
n02123394_1069,Cat
n02123394_10767,Cat
n02123394_1084,Cat
n02123394_1086,Cat
n02123394_1095,Cat
n02123394_1104,Cat
n02123394_11072,Cat
n02123394_1114,Cat
n02123394_1115,Cat
n02123394_1120,Cat
n02123394_1122,Cat
n02123394_1135,Cat
n02123394_1156,Cat
n02123394_116,Cat
n02123394_1164,Cat
n02123394_1174,Cat
n02123394_1178,Cat
n02123394_1179,Cat
n02123394_1205,Cat
n02123394_121,Cat
n02123394_1235,Cat
n02123394_1238,Cat
n02123394_1243,Cat
n02123394_1273,Cat
n02123394_1281,Cat
n02123394_1281,Chair
n02123394_1281,"Dining table"
n02123394_1307,Cat
n02123394_131,Person
n02123394_131,Cat
n02123394_1317,Cat
n02123394_1362,Cat
n02123394_1365,Cat
n02123394_1391,Cat
n02123394_1400,Cat
n02123394_1412,Cat
n02123394_1416,Cat
n02123394_1418,Cat
n02123394_1469,Cat
n02123394_1507,Cat
n02123394_1512,Cat
n02123394_1514,Cat
n02123394_1533,Cat
n02123394_1541,Bird
n02123394_1548,Cat
n02123394_1556,Cat
n02123394_1598,Cat
n02123394_1633,Cat
n02123394_1638,Dog
n02123394_1651,Cat
n02123394_1657,Cat
n02123394_1672,Cat
n02123394_1674,Cat
n02123394_1677,Cat
n02123394_1678,Cat
n02123394_1680,Cat
n02123394_1685,Cat
n02123394_1690,Cat
n02123394_1692,Cat
n02123394_1703,Cat
n02123394_1708,Dog
n02123394_1725,Cat
n02123394_1726,Cat
n02123394_1732,Cat
n02123394_1744,Cat
n02123394_1747,Cat
n02123394_1748,Cat
n02123394_1756,Cat
n02123394_1761,Cat
n02123394_1767,Cat
n02123394_1798,Person
n02123394_1798,Dog
n02123394_1813,Cat
n02123394_1817,Cat
n02123394_1834,Cat
n02123394_1844,Cat
n02123394_1844,Person
n02123394_1845,Dog
n02123394_185,Cat
n02123394_1871,Cat
n02123394_1872,Cat
n02123394_1873,Cat
n02123394_1873,Dog
n02123394_192,Cat
n02123394_1926,Cat
n02123394_194,Cat
n02123394_1940,Cat
n02123394_1942,Cat
n02123394_1943,Cat
n02123394_1953,Cat
n02123394_1954,Cat
n02123394_1957,Cat
n02123394_1957,Sofa
n02123394_1964,Cat
n02123394_1979,Cat
n02123394_1980,Cat
n02123394_1996,Cat
n02123394_200,Dog
n02123394_2010,Cat
n02123394_2013,Cat
n02123394_2019,Cat
n02123394_2040,Cat
n02123394_2047,Cat
n02123394_2053,Dog
n02123394_2055,Cat
n02123394_2059,Cat
n02123394_2076,Cat
n02123394_2080,Cat
n02123394_2084,Cat
n02123394_2086,Cat
n02123394_2095,Cat
n02123394_2099,Cat
n02123394_210,Cat
n02123394_2101,Cat
n02123394_2105,Cat
n02123394_2119,Cat
n02123394_2129,Cat
n02123394_2132,Dog
n02123394_2147,Cat
n02123394_2159,Cat
n02123394_2164,Cat
n02123394_2167,Cat
n02123394_2169,Cat
n02123394_2171,Cat
n02123394_2174,Cat
n02123394_2178,Dog
n02123394_2179,Cat
n02123394_2180,Cat
n02123394_2192,Cat
n02123394_2193,Cat
n02123394_2200,Cat
n02123394_2203,Cat
n02123394_2213,Cat
n02123394_2219,Cat
n02123394_2222,Cat
n02123394_2227,Cat
n02123394_2232,Cat
n02123394_2233,Dog
n02123394_2243,Cat
n02123394_2249,Cat
n02123394_2265,Cat
n02123394_2269,Cat
n02123394_2270,Cat
n02123394_2282,Cat
n02123394_2283,Cat
n02123394_2285,Cat
n02123394_2288,Cat
n02123394_2289,Cat
n02123394_2293,Cat
n02123394_2314,Cat
n02123394_2350,Dog
n02123394_2354,Cat
n02123394_2357,Dog
n02123394_2358,Cat
n02123394_2359,Cat
n02123394_2362,Cat
n02123394_2364,Cat
n02123394_2386,Cat
n02123394_2398,Cat
n02123394_2405,Cat
n02123394_2411,Cat
n02123394_2427,Cat
n02123394_2429,Cat
n02123394_2431,Cat
n02123394_2435,Cat
n02123394_2439,Cat
n02123394_2450,Cat
n02123394_2455,Cat
n02123394_2461,Cat
n02123394_2462,Cat
n02123394_2469,Cat
n02123394_2469,TV/Monitor
n02123394_2475,Cat
n02123394_2477,Cat
n02123394_2483,Cat
n02123394_2490,Cat
n02123394_2491,Cat
n02123394_2492,Cat
n02123394_2496,Cat
n02123394_2500,Dog
n02123394_2503,Cat
n02123394_2504,Cat
n02123394_2507,Cat
n02123394_2508,Dog
n02123394_2514,Cat
n02123394_2515,Cat
n02123394_2516,Cat
n02123394_2517,Cat
n02123394_2518,Cat
n02123394_2525,Dog
n02123394_2537,Dog
n02123394_2537,Person
n02123394_2545,Cat
n02123394_2546,Person
n02123394_2546,Cat
n02123394_2549,Cat
n02123394_2553,Cat
n02123394_256,Cat
n02123394_2568,Cat
n02123394_2573,Cat
n02123394_2593,Cat
n02123394_2611,Person
n02123394_2616,Cat
n02123394_2626,Cat
n02123394_2628,Cat
n02123394_2632,Cat
n02123394_2634,Cat
n02123394_2635,Cat
n02123394_2648,Cat
n02123394_2665,Cat
n02123394_267,Cat
n02123394_2690,Cat
n02123394_2691,Cat
n02123394_2692,Cat
n02123394_2693,Cat
n02123394_2699,Cat
n02123394_270,Cat
n02123394_2711,Cat
n02123394_2730,Cat
n02123394_274,Cat
n02123394_2745,Cat
n02123394_2745,Person
n02123394_2749,Cat
n02123394_275,Cat
n02123394_2755,Cat
n02123394_2761,Cat
n02123394_2764,Cat
n02123394_2777,Cat
n02123394_278,Dog
n02123394_2784,Cat
n02123394_2787,Cat
n02123394_2793,Cat
n02123394_28,Dog
n02123394_2808,Cat
n02123394_2811,Cat
n02123394_2814,Cat
n02123394_2840,Cat
n02123394_2844,Cat
n02123394_2848,Cat
n02123394_2858,Dog
n02123394_2859,Cat
n02123394_2862,Cat
n02123394_2872,Dog
n02123394_2882,Cat
n02123394_2903,Cat
n02123394_2924,Cat
n02123394_2931,Cat
n02123394_2953,Cat
n02123394_2963,Cat
n02123394_2984,Cat
n02123394_2988,Dog
n02123394_2995,Cat
n02123394_2996,Dog
n02123394_3004,Cat
n02123394_3011,Cat
n02123394_3027,Cat
n02123394_3062,Cat
n02123394_3083,Cat
n02123394_3102,Cat
n02123394_3110,Cat
n02123394_3144,Cat
n02123394_3154,Cat
n02123394_3157,Cat
n02123394_3158,Cat
n02123394_3166,Cat
n02123394_3167,Cat
n02123394_3178,Cat
n02123394_3179,Cat
n02123394_3218,Cat
n02123394_3229,Cat
n02123394_3229,TV/Monitor
n02123394_3252,Cat
n02123394_3269,Cat
n02123394_3279,Cat
n02123394_3291,Cat
n02123394_3307,Cat
n02123394_3328,Cat
n02123394_3339,Cat
n02123394_3400,Cat
n02123394_341,Cat
n02123394_3423,Cat
n02123394_3442,Cat
n02123394_345,Cat
n02123394_348,Cat
n02123394_3503,Cat
n02123394_3508,Cat
n02123394_3516,Cat
n02123394_3537,Cat
n02123394_3547,Cat
n02123394_3569,Cat
n02123394_3598,Dog
n02123394_3612,Cat
n02123394_3656,Cat
n02123394_3667,Cat
n02123394_3713,Cat
n02123394_374,Cat
n02123394_3756,Cat
n02123394_377,Cat
n02123394_377,Person
n02123394_3770,Cat
n02123394_3786,Cat
n02123394_3808,Dog
n02123394_383,Dog
n02123394_383,Cat
n02123394_384,Person
n02123394_384,Cat
n02123394_384,Dog
n02123394_387,Cat
n02123394_3872,Cat
n02123394_3889,Cat
n02123394_3898,Dog
n02123394_3949,Dog
n02123394_402,Cat
n02123394_4067,Cat
n02123394_4096,Cat
n02123394_4161,Cat
n02123394_4167,Cat
n02123394_417,Cat
n02123394_4178,Cat
n02123394_4228,Cat
n02123394_4286,Person
n02123394_4299,Cat
n02123394_4303,Cat
n02123394_4327,Cat
n02123394_4328,Cat
n02123394_4372,Cat
n02123394_4380,Cat
n02123394_4383,Cat
n02123394_4385,Cat
n02123394_4391,Cat
n02123394_4449,Cat
n02123394_4449,Dog
n02123394_4490,Cat
n02123394_4515,Cat
n02123394_4520,Person
n02123394_4520,Cat
n02123394_4542,Cat
n02123394_459,Cat
n02123394_4617,Cat
n02123394_4620,Cat
n02123394_4633,Cat
n02123394_4656,Dog
n02123394_4656,Sofa
n02123394_4658,Cat
n02123394_4659,Cat
n02123394_4662,Cat
n02123394_4664,Cat
n02123394_4666,Cat
n02123394_4675,Cat
n02123394_4678,Cat
n02123394_4696,Cat
n02123394_4696,"Potted plant"
n02123394_4697,Cat
n02123394_4714,Cat
n02123394_4721,Cat
n02123394_4725,Cat
n02123394_4755,Cat
n02123394_4775,Cat
n02123394_4779,Cat
n02123394_4785,Cat
n02123394_481,Dog
n02123394_4837,Cat
n02123394_4877,Cat
n02123394_4878,Cat
n02123394_489,Cat
n02123394_4896,Person
n02123394_490,Cat
n02123394_4964,Cat
n02123394_4971,Cat
n02123394_5052,Cat
n02123394_5054,Cat
n02123394_5071,Cat
n02123394_5075,Cat
n02123394_5092,Cat
n02123394_5104,Cat
n02123394_5105,Cat
n02123394_5155,Cat
n02123394_516,Cat
n02123394_5170,Cat
n02123394_5177,Cat
n02123394_5180,Dog
n02123394_5180,Cat
n02123394_5199,Cat
n02123394_5207,Cat
n02123394_5264,Cat
n02123394_5283,Cat
n02123394_530,Dog
n02123394_5301,Dog
n02123394_533,Cat
n02123394_5335,Cat
n02123394_5341,Cat
n02123394_535,Cat
n02123394_5377,Cat
n02123394_538,Dog
n02123394_5402,Cat
n02123394_546,Cat
n02123394_5468,Cat
n02123394_5470,Cat
n02123394_549,Cat
n02123394_5529,Cat
n02123394_5552,Cat
n02123394_5568,Dog
n02123394_557,Cat
n02123394_5622,Cat
n02123394_5638,Cat
n02123394_5669,Cat
n02123394_5679,Cat
n02123394_5708,Dog
n02123394_5708,Cat
n02123394_571,Cat
n02123394_5724,Cat
n02123394_5741,Cat
n02123394_5752,Cat
n02123394_580,Cat
n02123394_5822,Dog
n02123394_583,Cat
n02123394_5855,Dog
n02123394_5856,Cat
n02123394_5895,Cat
n02123394_5903,Cat
n02123394_5909,Cat
n02123394_591,Cat
n02123394_5912,Cat
n02123394_5914,Cat
n02123394_5943,Cat
n02123394_5968,Cat
n02123394_597,Cat
n02123394_598,Cat
n02123394_6001,Cat
n02123394_6012,Cat
n02123394_602,Cat
n02123394_6048,Cat
n02123394_6071,Cat
n02123394_6071,Chair
n02123394_6080,Cat
n02123394_6092,Cat
n02123394_6100,Cat
n02123394_6101,Cat
n02123394_6157,Cat
n02123394_6166,Cat
n02123394_6246,Cat
n02123394_6265,Cat
n02123394_6271,Cat
n02123394_6311,Cat
n02123394_632,Cat
n02123394_6324,Cat
n02123394_6328,Cat
n02123394_633,Cat
n02123394_6342,Cat
n02123394_635,Cat
n02123394_6362,Cat
n02123394_6381,Cat
n02123394_6382,Cat
n02123394_6419,Cat
n02123394_6487,Cat
n02123394_6490,Cat
n02123394_6496,Cat
n02123394_6501,Cat
n02123394_6502,Cat
n02123394_6515,Cat
n02123394_6521,Dog
n02123394_6530,Cat
n02123394_6540,Cat
n02123394_6551,Cat
n02123394_6598,Cat
n02123394_66,Person
n02123394_66,Cat
n02123394_661,Cat
n02123394_6670,Cat
n02123394_6702,Cat
n02123394_673,Cat
n02123394_6755,Cat
n02123394_6800,Cat
n02123394_682,Dog
n02123394_6823,Cat
n02123394_6846,Cat
n02123394_6847,Person
n02123394_6847,"Potted plant"
n02123394_685,Cat
n02123394_6850,Cat
n02123394_6856,Cat
n02123394_6857,Cat
n02123394_6875,Dog
n02123394_693,Dog
n02123394_6938,Cat
n02123394_6962,Cat
n02123394_7010,Cat
n02123394_702,Cat
n02123394_7030,Cat
n02123394_7070,Cat
n02123394_7074,Cat
n02123394_7077,Cat
n02123394_7078,Cat
n02123394_7105,Cat
n02123394_7128,Dog
n02123394_719,Cat
n02123394_7196,Cat
n02123394_7202,Cat
n02123394_7223,Cat
n02123394_7233,Cat
n02123394_724,Bottle
n02123394_724,Person
n02123394_728,Cat
n02123394_730,Cat
n02123394_7306,Cat
n02123394_734,Cat
n02123394_7343,Cat
n02123394_737,Cat
n02123394_738,Cat
n02123394_7384,Cat
n02123394_7389,Cat
n02123394_7392,Cat
n02123394_7406,Cat
n02123394_7462,Cat
n02123394_747,Cat
n02123394_7492,Cat
n02123394_7593,Cat
n02123394_7598,Cat
n02123394_76,Cat
n02123394_7601,Cat
n02123394_7646,Cat
n02123394_7684,Cat
n02123394_7700,Dog
n02123394_7700,Cat
n02123394_7702,Cat
n02123394_7707,Cat
n02123394_7707,"Dining table"
